Date,Open,High,Low,Close,Adj Close,Volume
5/3/2017,62.5,63.669998,62.380001,63.16555,63.630001,11429800
5/4/2017,63.669998,63.889999,63.220001,62.917374,63.380001,8610000
5/5/2017,63.5,64.089996,63.43,63.503067,63.970001,9346600
5/8/2017,63.91,64.510002,63.830002,63.542778,64.010002,11149500
5/9/2017,64.18,64.269997,63.16,62.828033,63.290001,10222300
5/10/2017,63.130001,63.950001,63.09,63.473286,63.939999,9631800
5/11/2017,64.75,65.25,64.309998,63.959709,64.43,18515900
5/12/2017,64.389999,64.669998,63.27,63.105988,63.57,10342100
5/15/2017,63.419998,63.599998,63.34,63.046425,63.509998,8311400
5/16/2017,63.439999,63.869999,63.139999,63.324383,63.790001,7870700
5/17/2017,63.790001,63.790001,62.880001,62.540146,63,7916900
5/18/2017,62.91,64.5,62.91,63.423649,63.889999,11954500
5/19/2017,64.040001,64.040001,63.5,63.314453,63.779999,9293700
5/22/2017,63.700001,64.440002,63.57,63.572556,64.040001,6226500
5/23/2017,64,64.589996,64,64.078835,64.550003,5734600
5/24/2017,64.769997,65.199997,64.540001,64.456062,64.93,6955400
5/25/2017,64.959999,65.120003,64.660004,64.565262,65.040001,7095900
5/26/2017,65,65.209999,64.82,64.446129,64.919998,3663300
5/30/2017,64.720001,65.139999,64.529999,64.406425,64.879997,4885600
5/31/2017,65.080002,65.489998,65.029999,64.63475,65.110001,7788300
6/1/2017,65.089996,65.260002,64.860001,64.783653,65.260002,7560500
6/2/2017,65.459999,65.580002,65.18,64.992119,65.470001,6298600
6/5/2017,65.349998,65.389999,64.699997,64.595039,65.07,5968500
6/6/2017,65,65.040001,64.459999,64.197952,64.669998,7841800
6/7/2017,64.599998,64.650002,64,63.592407,64.059998,7606600
6/8/2017,64.059998,64.25,62.830002,62.738689,63.200001,18522000
6/9/2017,63.200001,64.440002,63.139999,63.920002,64.389999,10750400
6/12/2017,64.389999,64.68,64.199997,63.920002,64.389999,9400300
6/13/2017,63.73,63.84,63.029999,63.27,63.27,12053000
6/14/2017,63.02,63.639999,63.02,63.369999,63.369999,10338600
6/15/2017,63.299999,63.439999,62.880001,63.189999,63.189999,7866800
6/16/2017,63.259998,63.709999,62.689999,62.970001,62.970001,14902000
6/19/2017,63.09,63.810001,63.02,63.68,63.68,8426900
6/20/2017,63.68,64.959999,63.580002,64.529999,64.529999,10263000
6/21/2017,64.559998,65.599998,64.559998,65.459999,65.459999,11145000
6/22/2017,65.510002,66.370003,65.379997,66.019997,66.019997,13441900
6/23/2017,66.040001,66.389999,65.839996,66.160004,66.160004,14093500
6/26/2017,66.150002,66.400002,65.830002,65.919998,65.919998,7576400
6/27/2017,66.269997,66.269997,65.540001,65.540001,65.540001,8121600
6/28/2017,65.760002,65.900002,65.139999,65.160004,65.160004,6733300
6/29/2017,65.010002,65.080002,64.089996,64.339996,64.339996,8350300
6/30/2017,64.489998,64.730003,64,64.089996,64.089996,8170000
7/3/2017,63.849998,64.629997,63.849998,64.269997,64.269997,4671400
7/5/2017,64.470001,64.800003,63.919998,64.160004,64.160004,6507800
7/6/2017,63.77,63.91,62.990002,63.099998,63.099998,11342700
7/7/2017,63.209999,63.34,62.810001,63.16,63.16,7243400
7/10/2017,63.389999,63.400002,62.610001,62.830002,62.830002,6713800
